epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4977,1.41326,2.89244,2.17677,1.48517,0.61996,0.6129,0.5159,0.2383,0.48099,0.53817,0.37261,0.13091,1.38189,1.90661,2.05853,1.71538,0.000655738,0.000655738,0.000655738
2,20.7952,1.23798,2.03039,1.56553,1.31814,0.4712,0.64516,0.60511,0.39807,0.42539,0.57318,0.47957,0.2096,1.10484,1.70266,1.77431,1.30217,0.00129622,0.00129622,0.00129622
3,30.2145,1.21596,1.98842,1.45284,1.29543,0.74942,0.77186,0.79879,0.49945,0.52031,0.6129,0.45732,0.18408,1.33902,2.13924,1.37661,1.54078,0.0019103,0.0019103,0.0019103
4,39.6574,1.19786,1.98802,1.36117,1.27686,0.84681,0.8025,0.88448,0.60008,0.6765,0.77579,0.7381,0.38467,1.09242,1.65542,1.20954,1.31261,0.0018812,0.0018812,0.0018812
5,49.102,1.1448,1.82184,1.26441,1.2536,0.78153,0.83871,0.87506,0.62082,0.76623,0.82258,0.83809,0.45648,1.03714,1.56943,1.14921,1.21006,0.0018416,0.0018416,0.0018416
6,58.5215,1.13061,1.7582,1.19649,1.23464,0.78159,0.83871,0.87494,0.6273,0.76499,0.82258,0.84042,0.4911,0.98966,1.3457,1.14996,1.19319,0.001802,0.001802,0.001802
7,68.085,1.09122,1.65892,1.12308,1.20699,0.86709,0.83871,0.88778,0.66086,0.85121,0.83053,0.85555,0.52108,0.85136,1.35843,0.93064,1.07998,0.0017624,0.0017624,0.0017624
8,77.8775,1.02949,1.63986,1.04034,1.1679,0.77225,0.87507,0.87986,0.65277,0.61234,0.74194,0.65398,0.34644,0.99319,1.62384,1.05627,1.13481,0.0017228,0.0017228,0.0017228
9,87.6879,1.04124,1.55724,1.02338,1.15787,0.8079,0.87097,0.90404,0.6926,0.8079,0.87097,0.90323,0.5507,0.83189,1.21178,0.89702,1.02788,0.0016832,0.0016832,0.0016832
10,97.6352,1.01646,1.60987,1.04279,1.15084,0.81341,0.8871,0.89613,0.67503,0.78099,0.85484,0.86942,0.49418,0.84425,1.20901,1.02177,1.06493,0.0016436,0.0016436,0.0016436
11,107.632,0.98173,1.56048,0.9401,1.13353,0.81835,0.87199,0.88389,0.6885,0.80332,0.85643,0.85887,0.52993,0.83029,1.14077,0.96786,1.05787,0.001604,0.001604,0.001604
12,119.375,0.98207,1.4706,0.92713,1.13958,0.86688,0.93548,0.90857,0.68655,0.84268,0.90323,0.85285,0.52342,0.81411,1.23767,0.90079,1.03609,0.0015644,0.0015644,0.0015644
13,130.301,0.96059,1.46464,0.88365,1.11703,0.84467,0.85484,0.91069,0.70834,0.82755,0.83871,0.87668,0.5518,0.87836,1.17382,0.8645,1.05031,0.0015248,0.0015248,0.0015248
14,141.63,0.95691,1.52126,0.87112,1.11539,0.79824,0.93548,0.9163,0.7229,0.75632,0.8871,0.83363,0.51256,0.79334,1.27784,0.78638,1.00968,0.0014852,0.0014852,0.0014852
